"09364: Electricity prices in the end-user market, by type of contract, contents and quarter"

"type of contract";"Electricity price, incl. VAT (øre/kWh) 2012K1";"Electricity price, incl. VAT (øre/kWh) 2012K2";"Electricity price, incl. VAT (øre/kWh) 2012K3";"Electricity price, incl. VAT (øre/kWh) 2012K4";"Electricity price, incl. VAT (øre/kWh) 2013K1";"Electricity price, incl. VAT (øre/kWh) 2013K2";"Electricity price, incl. VAT (øre/kWh) 2013K3";"Electricity price, incl. VAT (øre/kWh) 2013K4";"Electricity price, incl. VAT (øre/kWh) 2014K1";"Electricity price, incl. VAT (øre/kWh) 2014K2";"Electricity price, incl. VAT (øre/kWh) 2014K3";"Electricity price, incl. VAT (øre/kWh) 2014K4";"Electricity price, incl. VAT (øre/kWh) 2015K1";"Electricity price, incl. VAT (øre/kWh) 2015K2";"Electricity price, incl. VAT (øre/kWh) 2015K3";"Electricity price, incl. VAT (øre/kWh) 2015K4";"Electricity price, incl. VAT (øre/kWh) 2016K1";"Electricity price, incl. VAT (øre/kWh) 2016K2";"Electricity price, incl. VAT (øre/kWh) 2016K3";"Electricity price, incl. VAT (øre/kWh) 2016K4";"Electricity price, incl. VAT (øre/kWh) 2017K1";"Electricity price, incl. VAT (øre/kWh) 2017K2";"Electricity price, incl. VAT (øre/kWh) 2017K3";"Electricity price, incl. VAT (øre/kWh) 2017K4";"Electricity price, incl. VAT (øre/kWh) 2018K1";"Electricity price, incl. VAT (øre/kWh) 2018K2";"Electricity price, incl. VAT (øre/kWh) 2018K3";"Electricity price, incl. VAT (øre/kWh) 2018K4";"Electricity price, incl. VAT (øre/kWh) 2019K1";"Electricity price, incl. VAT (øre/kWh) 2019K2";"Electricity price, incl. VAT (øre/kWh) 2019K3";"Electricity price, incl. VAT (øre/kWh) 2019K4";"Electricity price, incl. VAT (øre/kWh) 2020K1";"Electricity price, incl. VAT (øre/kWh) 2020K2";"Electricity price, incl. VAT (øre/kWh) 2020K3"
"New fixed-price contracts, more than 1-year, households";47.7;43.2;41.5;43.1;43.3;43.2;41.6;45.5;43.6;42.5;40.0;39.7;39.1;40.9;38.0;37.9;33.4;34.1;36.9;36.5;36.1;37.3;39.0;41.8;33.6;41.8;51.0;53.2;51.6;44.4;52.4;51.1;41.4;41.9;46.5
"Contracts tied to spot price, households";40.6;29.3;20.7;37.2;41.9;41.7;39.6;41.8;35.7;29.2;36.9;37.0;35.5;28.7;21.0;29.6;32.8;33.4;35.5;44.6;39.2;38.7;39.4;42.6;51.5;53.2;66.3;64.9;64.8;53.5;50.1;55.2;27.9;15.1;14.9
