Navn;Stasjon;Tid(norsk normaltid);Nedbør (mnd)
Øvre Årdal;SN54780;07.2001;67,1
Øvre Årdal;SN54780;08.2001;78,9
Øvre Årdal;SN54780;09.2001;25,5
Øvre Årdal;SN54780;11.2001;123,5
Øvre Årdal;SN54780;12.2001;42,5
Øvre Årdal;SN54780;01.2002;46,3
Øvre Årdal;SN54780;02.2002;49,1
Øvre Årdal;SN54780;03.2002;110,6
Øvre Årdal;SN54780;05.2002;32,5
Øvre Årdal;SN54780;06.2002;49
Øvre Årdal;SN54780;07.2002;68,5
Øvre Årdal;SN54780;08.2002;30,5
Øvre Årdal;SN54780;09.2002;33,3
Øvre Årdal;SN54780;10.2002;46,4
Øvre Årdal;SN54780;11.2002;15,1
Øvre Årdal;SN54780;12.2002;11
Øvre Årdal;SN54780;01.2003;128,2
Øvre Årdal;SN54780;02.2003;15,5
Øvre Årdal;SN54780;03.2003;24
Øvre Årdal;SN54780;04.2003;3,4
Øvre Årdal;SN54780;05.2003;81,7
Øvre Årdal;SN54780;06.2003;57,9
Øvre Årdal;SN54780;07.2003;56,9
Øvre Årdal;SN54780;09.2003;104,5
Øvre Årdal;SN54780;10.2003;39
Øvre Årdal;SN54780;11.2003;14,5
Øvre Årdal;SN54780;12.2003;152,1
Øvre Årdal;SN54780;01.2004;22,5
Øvre Årdal;SN54780;02.2004;60,7
Øvre Årdal;SN54780;04.2004;18,3
Øvre Årdal;SN54780;07.2004;68,1
Øvre Årdal;SN54780;08.2004;44,4
Øvre Årdal;SN54780;09.2004;91,7
Øvre Årdal;SN54780;12.2004;142,1
Øvre Årdal;SN54780;01.2006;32,1
Øvre Årdal;SN54780;02.2006;22,1
Øvre Årdal;SN54780;03.2006;18
Øvre Årdal;SN54780;04.2006;17,6
Øvre Årdal;SN54780;07.2006;54
Øvre Årdal;SN54780;12.2006;171,4
Øvre Årdal;SN54780;02.2007;26
Øvre Årdal;SN54780;03.2007;59,6
Øvre Årdal;SN54780;04.2007;44,7
Øvre Årdal;SN54780;07.2007;127
Øvre Årdal;SN54780;08.2007;63,8
Øvre Årdal;SN54780;09.2007;83,6
Øvre Årdal;SN54780;10.2007;79
Øvre Årdal;SN54780;11.2007;107,4
Øvre Årdal;SN54780;12.2007;69,2
Øvre Årdal;SN54780;02.2008;107,4
Øvre Årdal;SN54780;05.2008;17,2
Øvre Årdal;SN54780;07.2008;53
Øvre Årdal;SN54780;08.2008;77
Øvre Årdal;SN54780;09.2008;31
Øvre Årdal;SN54780;07.2009;83,5
Øvre Årdal;SN54780;09.2009;116
Øvre Årdal;SN54780;12.2009;0,5
Øvre Årdal;SN54780;02.2010;3,6
Øvre Årdal;SN54780;03.2010;57,5
Øvre Årdal;SN54780;06.2010;52,4
Øvre Årdal;SN54780;07.2010;78,1
Øvre Årdal;SN54780;08.2010;70
Øvre Årdal;SN54780;09.2010;64,7
Øvre Årdal;SN54780;10.2010;38,8
Øvre Årdal;SN54780;11.2010;40,7
Øvre Årdal;SN54780;12.2010;29,6
Øvre Årdal;SN54780;01.2011;76,2
Øvre Årdal;SN54780;02.2011;64
Øvre Årdal;SN54780;03.2011;102,3
Øvre Årdal;SN54780;06.2011;117,3
Øvre Årdal;SN54780;07.2011;81,7
Øvre Årdal;SN54780;08.2011;132,2
Øvre Årdal;SN54780;09.2011;92,9
Øvre Årdal;SN54780;10.2011;94,7
Øvre Årdal;SN54780;11.2011;122,7
Øvre Årdal;SN54780;12.2011;134,4
Øvre Årdal;SN54780;01.2012;64,1
Øvre Årdal;SN54780;02.2012;113,8
Øvre Årdal;SN54780;03.2012;65,5
Øvre Årdal;SN54780;04.2012;15,3
Øvre Årdal;SN54780;05.2012;20,4
Øvre Årdal;SN54780;06.2012;27,1
Øvre Årdal;SN54780;07.2012;90,6
Øvre Årdal;SN54780;08.2012;123,5
Øvre Årdal;SN54780;09.2012;99,6
Øvre Årdal;SN54780;10.2012;49,8
Øvre Årdal;SN54780;11.2012;85,3
Øvre Årdal;SN54780;12.2012;11,7
Øvre Årdal;SN54780;01.2013;36,6
Øvre Årdal;SN54780;02.2013;19,5
Øvre Årdal;SN54780;03.2013;5,1
Øvre Årdal;SN54780;04.2013;73,8
Øvre Årdal;SN54780;05.2013;74,5
Øvre Årdal;SN54780;06.2013;87,9
Øvre Årdal;SN54780;07.2013;58,9
Øvre Årdal;SN54780;08.2013;90,2
Øvre Årdal;SN54780;09.2013;57,9
Øvre Årdal;SN54780;10.2013;110,6
Øvre Årdal;SN54780;11.2013;89,6
Øvre Årdal;SN54780;12.2013;88,2
Øvre Årdal;SN54780;01.2014;20,6
Øvre Årdal;SN54780;02.2014;16,1
Øvre Årdal;SN54780;03.2014;116,6
Øvre Årdal;SN54780;04.2014;34,8
Øvre Årdal;SN54780;05.2014;16,1
Øvre Årdal;SN54780;06.2014;15,3
Øvre Årdal;SN54780;07.2014;57,6
Øvre Årdal;SN54780;08.2014;55,5
Øvre Årdal;SN54780;09.2014;74
Øvre Årdal;SN54780;10.2014;144,4
Øvre Årdal;SN54780;11.2014;32
Øvre Årdal;SN54780;12.2014;105,3
Øvre Årdal;SN54780;01.2015;131
Øvre Årdal;SN54780;02.2015;33,4
Øvre Årdal;SN54780;03.2015;103,2
Øvre Årdal;SN54780;04.2015;30,2
Øvre Årdal;SN54780;05.2015;39,7
Øvre Årdal;SN54780;06.2015;39,9
Øvre Årdal;SN54780;07.2015;55,6
Øvre Årdal;SN54780;08.2015;35,9
Øvre Årdal;SN54780;09.2015;27,7
Øvre Årdal;SN54780;10.2015;33,4
Øvre Årdal;SN54780;11.2015;149,2
Øvre Årdal;SN54780;12.2015;242,9
Øvre Årdal;SN54780;01.2016;58,6
Øvre Årdal;SN54780;02.2016;22,7
Øvre Årdal;SN54780;03.2016;2,2
Øvre Årdal;SN54780;04.2016;9,9
Øvre Årdal;SN54780;05.2016;17,1
Øvre Årdal;SN54780;06.2016;44
Øvre Årdal;SN54780;07.2016;66,3
Øvre Årdal;SN54780;08.2016;116,8
Øvre Årdal;SN54780;09.2016;100
Øvre Årdal;SN54780;10.2016;58
Øvre Årdal;SN54780;11.2016;69,2
Øvre Årdal;SN54780;12.2016;222,4
Øvre Årdal;SN54780;01.2017;43,3
Øvre Årdal;SN54780;02.2017;31,2
Øvre Årdal;SN54780;03.2017;60,9
Øvre Årdal;SN54780;04.2017;34
Øvre Årdal;SN54780;05.2017;46
Øvre Årdal;SN54780;06.2017;53,3
Øvre Årdal;SN54780;07.2017;59,5
Øvre Årdal;SN54780;08.2017;67,3
Øvre Årdal;SN54780;09.2017;70,6
Øvre Årdal;SN54780;10.2017;97,6
Øvre Årdal;SN54780;11.2017;77,4
Øvre Årdal;SN54780;12.2017;121,4
Øvre Årdal;SN54780;01.2018;41
Øvre Årdal;SN54780;02.2018;1
Øvre Årdal;SN54780;03.2018;4,5
Øvre Årdal;SN54780;04.2018;26,5
Øvre Årdal;SN54780;05.2018;25
Øvre Årdal;SN54780;06.2018;49,5
Øvre Årdal;SN54780;07.2018;26
Øvre Årdal;SN54780;08.2018;130
Øvre Årdal;SN54780;09.2018;361
Øvre Årdal;SN54780;10.2018;191,3
Øvre Årdal;SN54780;11.2018;7,4
Øvre Årdal;SN54780;12.2018;24,7
Øvre Årdal;SN54780;01.2019;57,5
Øvre Årdal;SN54780;02.2019;54,3
Øvre Årdal;SN54780;03.2019;68,4
Øvre Årdal;SN54780;04.2019;0,1
Øvre Årdal;SN54780;05.2019;23,8
Øvre Årdal;SN54780;06.2019;62
Øvre Årdal;SN54780;07.2019;44,7
Øvre Årdal;SN54780;08.2019;103,8
Øvre Årdal;SN54780;09.2019;97,2
Øvre Årdal;SN54780;10.2019;47,2
Øvre Årdal;SN54780;11.2019;14,5
Øvre Årdal;SN54780;12.2019;170,6
Øvre Årdal;SN54780;01.2020;239,7
Øvre Årdal;SN54780;02.2020;141,6
Øvre Årdal;SN54780;03.2020;61,7
Øvre Årdal;SN54780;04.2020;41,5
Øvre Årdal;SN54780;05.2020;22,2
Øvre Årdal;SN54780;06.2020;18,2
Øvre Årdal;SN54780;07.2020;67,1
Øvre Årdal;SN54780;08.2020;82,1
Øvre Årdal;SN54780;09.2020;131,8
Øvre Årdal;SN54780;10.2020;35,4
Data er gyldig per 19.11.2020 (CC BY 4.0), Meteorologisk institutt (MET);;;
